DisNo.,Disaster Type,Disaster Subtype,Event Name,Main Landfall Location,Flood,Slide,OFDA Response,Appeal,Declaration,Landfall's Magnitude (kph),Landfall's Pressure (mb),Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Completed
1953-0019-VNM,Storm,Tropical cyclone,NULL,8,0,0,No,No,No,NULL,NULL,1953,9,26,1953,9,26,1000,NULL,NULL,NULL,9.156132559,FALSE
1964-0063-VNM,Storm,Tropical cyclone,Iris,5,0,0,Yes,No,No,120,996,1964,9,,1964,11,,7000,NULL,50000,471770,10.59837602,FALSE
1971-0029-VNM,Storm,Tropical cyclone,Wanda,5,0,0,No,No,No,139,980,1971,5,1,1971,5,1,23,NULL,NULL,NULL,13.83598355,FALSE
1971-0057-VNM,Storm,Tropical cyclone,NULL,3,0,0,No,No,No,NULL,NULL,1971,10,23,1971,10,23,89,NULL,NULL,NULL,13.83598355,FALSE
1973-0047-VNM,Storm,Tropical cyclone,Sarah,6,0,0,No,No,No,102,985,1973,11,10,1973,11,10,100,NULL,NULL,NULL,15.17145282,FALSE
1977-0088-VNM,Storm,Tropical cyclone,Sarash,3,0,0,No,No,No,102,970,1977,7,22,1977,7,22,101,390,75000,362147,20.7098325,FALSE
1980-0068-VNM,Storm,Tropical cyclone,Joe,3,0,0,No,No,No,83,940,1980,7,23,1980,7,23,132,210,10750,38176,28.15888663,FALSE
1980-0090-VNM,Storm,Tropical cyclone,Ruth,4,0,0,No,No,No,102,980,1980,9,15,1980,9,15,173,174,60000,213076,28.15888663,FALSE
1982-0112-VNM,Storm,Tropical cyclone,Nancy,4,0,0,No,No,No,129,935,1982,10,18,1982,10,18,70,290,73000,221386,32.97399781,FALSE
1983-0077-VNM,Storm,Severe weather,NULL,4,0,0,No,No,No,NULL,NULL,1983,5,,1983,5,,76,NULL,NULL,NULL,34.03326363,FALSE
1983-0123-VNM,Storm,Tropical cyclone,Herbert,5,0,0,No,No,No,83,995,1983,11,3,1983,11,11,40,NULL,1000,2938,34.03326363,FALSE
1983-0124-VNM,Storm,Tropical cyclone,KIm,6,0,0,No,No,No,75,994,1983,11,15,1983,11,18,200,NULL,9530,27473,34.03326363,FALSE
1983-0125-VNM,Storm,Tropical cyclone,Lex,4,0,0,No,No,No,95,985,1983,11,19,1983,11,27,119,125,5000,14691,34.03326363,FALSE
1983-0452-VNM,Storm,Tropical cyclone,Georgia,4,0,0,No,No,No,74,988,1983,10,5,1983,10,5,80,NULL,NULL,NULL,34.03326363,FALSE
