,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
0,STORM_NAN_1953,,1953,9,Storm,Tropical cyclone,8,0,0,0,0,0,,,1000,,,,9.16
1,STORM_IRIS_1964,Iris,1964,9,Storm,Tropical cyclone,5,0,0,1,0,0,120,996,7000,,50000,471770,10.6
2,STORM_WANDA_1971,Wanda,1971,5,Storm,Tropical cyclone,5,0,0,0,0,0,139,980,23,,,,13.84
3,STORM_NAN_1971,,1971,10,Storm,Tropical cyclone,3,0,0,0,0,0,,,89,,,,13.84
4,STORM_SARAH_1973,Sarah,1973,11,Storm,Tropical cyclone,6,0,0,0,0,0,102,985,100,,,,15.17
5,STORM_SARASH_1977,Sarash,1977,7,Storm,Tropical cyclone,3,0,0,0,0,0,102,970,101,390,75000,362147,20.71
6,STORM_JOE_1980,Joe,1980,7,Storm,Tropical cyclone,3,0,0,0,0,0,83,940,132,210,10750,38176,28.16
7,STORM_RUTH_1980,Ruth,1980,9,Storm,Tropical cyclone,4,0,0,0,0,0,102,980,173,174,60000,213076,28.16
8,STORM_NANCY_1982,Nancy,1982,10,Storm,Tropical cyclone,4,0,0,0,0,0,129,935,70,290,73000,221386,32.97
9,STORM_NAN_1983,,1983,5,Storm,Severe weather,4,0,0,0,0,0,,,76,,,,34.03
10,STORM_HERBERT_1983,Herbert,1983,11,Storm,Tropical cyclone,5,0,0,0,0,0,83,995,40,,1000,2938,34.03
11,STORM_KIM_1983,KIm,1983,11,Storm,Tropical cyclone,6,0,0,0,0,0,75,994,200,,9530,27473,34.03
12,STORM_LEX_1983,Lex,1983,11,Storm,Tropical cyclone,4,0,0,0,0,0,95,985,119,125,5000,14691,34.03
13,STORM_GEORGIA_1983,Georgia,1983,10,Storm,Tropical cyclone,4,0,0,0,0,0,74,988,80,,,,34.03
14,STORM_NAN_1984,,1984,4,Storm,Tropical cyclone,3,0,0,0,0,0,,,21,94,,,35.5
15,STORM_AGNES_1984,Agnes,1984,11,Storm,Tropical cyclone,5,0,0,0,0,0,157,974,134,289,100000,281715,35.5
16,STORM_CECIL_1985,Cecil,1985,10,Storm,Tropical cyclone,4,0,0,0,0,0,166,969,798,257,65000,176844,36.76
17,STORM_WAYNE_1986,Wayne,1986,9,Storm,Tropical cyclone,4,0,0,0,0,0,111,965,435,2502,150000,400500,37.45
18,STORM_MAURY_1987,Maury,1987,11,Storm,Tropical cyclone,6,0,0,0,0,0,55,994,101,211,20000,51512,38.83
19,STORM_NAN_1988,,1988,10,Storm,Tropical cyclone,4,0,0,0,0,0,,,137,,,,40.41
20,STORM_NAN_1988_2,,1988,11,Storm,Tropical cyclone,7,0,0,0,0,0,,,20,,,,40.41
