,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
0,STORM_NAN_1953,,1953,9.0,Storm,Tropical cyclone,Mekong River Delta,0.0,0.0,0.0,0.0,0.0,93.0,985.0,1000.0,146.0,89730.0,139143.0,9.156132559
1,STORM_VIOLET_1964,Violet ,1964,9.0,Storm,Tropical cyclone,North Central Coast,,,0.0,0.0,0.0,93.0,985.0,124.0,146.0,10000.0,94354.08,10.59837602
2,STORM_IRIS_1964,Iris,1964,11.0,Storm,Tropical cyclone,South Central Coast,,,0.0,0.0,0.0,150.0,960.0,5100.0,146.0,70000.0,660478.55,10.59837602
3,STORM_JOAN_1964,Joan,1964,11.0,Storm,Tropical cyclone,South Central Coast,,,0.0,0.0,0.0,130.0,980.0,2500.0,146.0,15000.0,141531.12,10.59837602
4,STORM_KATE_1964,Kate,1964,11.0,Storm,Tropical cyclone,Central Highlands,,,0.0,0.0,0.0,130.0,970.0,0.0,146.0,3000.0,28306.22,10.59837602
5,STORM_PATSY_1970,Patsy,1970,,Storm,Tropical cyclone,North Central Coast,,,0.0,0.0,0.0,75.0,995.0,30.0,146.0,89730.0,139143.0,13.26647996
6,STORM_WANDA_1971,Wanda,1971,5.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,139.0,980.0,23.0,146.0,89730.0,139143.0,13.83598355
7,STORM_HESTER_1971,Hester,1971,10.0,Storm,Tropical cyclone,SouthEast,,,0.0,0.0,0.0,83.0,970.0,100.0,146.0,5000.0,36137.65,13.83598355
8,STORM_NAN_1971,,1971,10.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,93.0,985.0,89.0,146.0,89730.0,139143.0,13.83598355
9,STORM_SARAH_1973,Sarah,1973,11.0,Storm,Tropical cyclone,Central Highlands,0.0,0.0,0.0,0.0,0.0,102.0,985.0,100.0,146.0,89730.0,139143.0,15.17145282
10,STORM_SARASH_1977,Sarash,1977,7.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,102.0,970.0,101.0,390.0,75000.0,362146.82,20.7098325
11,STORM_JOE_1980,Joe,1980,7.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,83.0,940.0,132.0,210.0,10750.0,38176.23,28.15888663
12,STORM_RUTH_1980,Ruth,1980,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,102.0,980.0,173.0,174.0,60000.0,213076.61,28.15888663
13,STORM_NANCY_1982,Nancy,1982,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,129.0,935.0,70.0,290.0,73000.0,221386.56,32.97399781
14,STORM_NAN_1983,,1983,5.0,Storm,Severe weather,North Central Coast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,76.0,146.0,89730.0,139143.0,34.03326363
15,STORM_HERBERT_1983,Herbert,1983,11.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,83.0,995.0,40.0,146.0,1000.0,2938.3,34.03326363
16,STORM_KIM_1983,KIm,1983,11.0,Storm,Tropical cyclone,Central Highlands,0.0,0.0,0.0,0.0,0.0,75.0,994.0,200.0,146.0,9530.0,28002.02,34.03326363
17,STORM_LEX_1983,Lex,1983,11.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,95.0,985.0,119.0,125.0,5000.0,14691.51,34.03326363
18,STORM_GEORGIA_1983,Georgia,1983,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,74.0,988.0,26.0,146.0,80000.0,235064.14,34.03326363
19,STORM_VERA_1983,Vera,1983,7.0,Storm,Tropical cyclone,NorthEast,1.0,0.0,0.0,0.0,0.0,101.0,980.0,106.0,146.0,89730.0,139143.0,34.03326363
20,STORM_NAN_1984,,1984,4.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,93.0,985.0,21.0,94.0,89730.0,139143.0,35.49688113
21,STORM_AGNES_1984,Agnes,1984,11.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,157.0,974.0,134.0,289.0,100000.0,281714.89,35.49688113
22,STORM_SUSAN_1984,Susan,1984,10.0,Storm,Tropical cyclone,South Central Coast,1.0,1.0,0.0,0.0,0.0,75.0,996.0,33.0,146.0,20000.0,56342.98,35.49688113
23,STORM_LYNN_1984,Lynn,1984,11.0,Storm,Tropical cyclone,,0.0,0.0,0.0,0.0,0.0,27.0,1010.0,0.0,0.0,0.0,0.0,35.49688113
24,STORM_VERNON_1984,Vernon,1984,6.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,0.0,0.0,0.0,55.0,1000.0,0.0,0.0,10.0,28.17,35.49688113
25,STORM_WARREN_1984,Warren,1984,11.0,Storm,Tropical depression,South Central Coast,0.0,0.0,0.0,0.0,0.0,46.0,1010.0,0.0,0.0,0.0,0.0,35.49688113
26,STORM_CECIL_1985,Cecil,1985,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,166.0,969.0,798.0,257.0,65000.0,176844.44,36.75546794
27,STORM_ANDY_1985,Andy,1985,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,111.0,990.0,46.0,146.0,89730.0,139143.0,36.75546794
28,STORM_DOT_1985,Dot,1985,10.0,Storm,Tropical depression,North Central Coast,0.0,0.0,0.0,0.0,0.0,70.0,1000.0,0.0,0.0,89730.0,139143.0,36.75546794
29,STORM_WAYNE_1986,Wayne,1986,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,111.0,965.0,435.0,2502.0,150000.0,400500.77,37.45311166
30,STORM_CARY_1987,Cary,1987,,,Tropical cyclone,North Central Coast,,,0.0,0.0,0.0,111.0,960.0,20.0,146.0,30000.0,77268.6,38.82560081
31,STORM_MAURY_1987,Maury,1987,11.0,Storm,Tropical cyclone,Central Highlands,0.0,0.0,0.0,0.0,0.0,55.0,994.0,101.0,211.0,20000.0,51512.4,38.82560081
32,STORM_TESS_1985,Tess,1987,11.0,Storm,Tropical cyclone,SouthEast,0.0,0.0,0.0,0.0,0.0,45.0,980.0,37.0,146.0,11000.0,28331.82,38.82560081
33,STORM_PAT_1987,Pat,1987,10.0,Storm,Tropical cyclone,Red River Delta,1.0,1.0,0.0,0.0,0.0,70.0,980.0,90.0,146.0,20000.0,51512.4,38.82560081
34,STORM_NAN_1988,,1988,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,137.0,146.0,89730.0,139143.0,40.40880605
35,STORM_NAN_1988_2,,1988,11.0,Storm,Tropical cyclone,SouthEast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,20.0,146.0,89730.0,139143.0,40.40880605
