,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
0,STORM_NAN_1953,,1953,9,Storm,Tropical cyclone,8,0,0,0,0,0,92,989,1000,20,19400,211880,9.156132559
1,STORM_VIOLET_1964,Violet ,1964,9,Storm,Tropical cyclone,4,1,1,0,0,0,92,989,18,20,10000,94354,10.59837602
2,STORM_IRIS_1964,Iris,1964,11,Storm,Tropical cyclone,5,1,0,0,0,0,150,960,5100,20,70000,660479,10.59837602
3,STORM_JOAN_1964,Joan,1964,11,Storm,Tropical cyclone,5,1,0,0,0,0,130,980,2500,20,15000,141531,10.59837602
4,STORM_KATE_1964,Kate,1964,11,Storm,Tropical cyclone,6,1,0,0,0,0,130,970,0,20,3000,28306,10.59837602
5,STORM_PATSY_1970,Patsy,1970,4,Storm,Tropical cyclone,4,0,0,0,0,0,75,995,30,20,19400,146233,13.26647996
6,STORM_WANDA_1971,Wanda,1971,5,Storm,Tropical cyclone,5,0,0,0,0,0,139,980,23,20,19400,140214,13.83598355
7,STORM_HESTER_1971,Hester,1971,10,Storm,Tropical cyclone,7,1,0,0,0,0,83,970,100,20,5000,36138,13.83598355
8,STORM_NAN_1971,,1971,10,Storm,Tropical cyclone,3,0,0,0,0,0,92,989,89,20,19400,140214,13.83598355
9,STORM_SARAH_1973,Sarah,1973,11,Storm,Tropical cyclone,6,0,0,0,0,0,102,985,100,20,19400,127872,15.17145282
10,STORM_SARASH_1977,Sarash,1977,7,Storm,Tropical cyclone,3,1,1,0,0,0,102,970,101,390,75000,362147,20.7098325
11,STORM_JOE_1980,Joe,1980,7,Storm,Tropical cyclone,3,1,0,0,0,0,83,940,132,210,10750,38176,28.15888663
12,STORM_RUTH_1980,Ruth,1980,9,Storm,Tropical cyclone,4,1,1,0,0,0,102,980,173,174,60000,213077,28.15888663
13,STORM_NANCY_1982,Nancy,1982,10,Storm,Tropical cyclone,4,1,1,0,0,0,129,935,70,290,73000,221387,32.97399781
14,STORM_NAN_1983,,1983,5,Storm,Severe weather,4,0,0,0,0,0,92,989,76,20,19400,57003,34.03326363
15,STORM_HERBERT_1983,Herbert,1983,11,Storm,Tropical cyclone,5,0,0,0,0,0,83,995,40,20,1000,2938,34.03326363
16,STORM_KIM_1983,Kim,1983,11,Storm,Tropical cyclone,6,1,1,0,0,0,75,994,200,20,9530,28002,34.03326363
17,STORM_LEX_1983,Lex,1983,11,Storm,Tropical cyclone,4,1,0,0,0,0,95,985,119,125,5000,14692,34.03326363
18,STORM_GEORGIA_1983,Georgia,1983,10,Storm,Tropical cyclone,4,1,0,0,0,0,74,988,26,20,80000,235064,34.03326363
19,STORM_VERA_1983,Vera,1983,7,Storm,Tropical cyclone,1,1,1,0,0,0,101,980,106,20,19400,57003,34.03326363
20,STORM_NAN_1984,,1984,4,Storm,Tropical cyclone,3,0,0,0,0,0,92,989,21,94,19400,54653,35.49688113
21,STORM_AGNES_1984,Agnes,1984,11,Storm,Tropical cyclone,5,1,0,0,0,0,157,974,134,289,100000,281715,35.49688113
22,STORM_SUSAN_1984,Susan,1984,10,Storm,Tropical cyclone,5,1,1,0,0,0,75,996,33,20,20000,56343,35.49688113
23,STORM_LYNN_1984,Lynn,1984,11,Storm,Tropical cyclone,11,1,0,0,0,0,27,1010,0,0,0,0,35.49688113
24,STORM_VERNON_1984,Vernon,1984,6,Storm,Tropical cyclone,5,1,0,0,0,0,55,1000,0,0,10,28,35.49688113
25,STORM_WARREN_1984,Warren,1984,11,Storm,Tropical depression,5,1,0,0,0,0,46,1010,0,0,0,0,35.49688113
26,STORM_CECIL_1985,Cecil,1985,10,Storm,Tropical cyclone,4,1,0,0,0,0,166,969,798,257,65000,176844,36.75546794
27,STORM_ANDY_1985,Andy,1985,10,Storm,Tropical cyclone,4,1,0,0,0,0,111,990,46,20,19400,52781,36.75546794
28,STORM_DOT_1985,Dot,1985,10,Storm,Tropical depression,4,1,0,0,0,0,70,1000,0,0,19400,52781,36.75546794
29,STORM_WAYNE_1986,Wayne,1986,9,Storm,Tropical cyclone,4,1,0,0,0,0,111,965,435,2502,150000,400501,37.45311166
30,STORM_CARY_1987,Cary,1987,8,Storm,Tropical cyclone,4,1,1,0,0,0,111,960,20,20,30000,77269,38.82560081
31,STORM_MAURY_1987,Maury,1987,11,Storm,Tropical cyclone,6,1,0,0,0,0,55,994,101,211,20000,51512,38.82560081
32,STORM_TESS_1985,Tess,1987,11,Storm,Tropical cyclone,7,1,1,0,0,0,45,980,37,20,11000,28332,38.82560081
33,STORM_PAT_1987,Pat,1987,10,Storm,Tropical cyclone,3,1,1,0,0,0,70,980,90,20,20000,51512,38.82560081
34,STORM_NAN_1988,,1988,10,Storm,Tropical cyclone,4,0,0,0,0,0,92,989,137,20,19400,48009,40.40880605
35,STORM_NAN_1988_2,,1988,11,Storm,Tropical cyclone,7,0,0,0,0,0,92,989,20,20,19400,48009,40.40880605
36,STORM_IRVING_1989,Irving,1989,7,Storm,Tropical cyclone,4,1,0,0,0,0,102,985,104,491,200000,472151,42.35934309
37,STORM_BRIAN_1989,Brian,1989,10,Storm,Tropical cyclone,4,1,0,0,0,0,140,970,53,762,150000,354113,42.35934309
38,STORM_CECIL_1989,Cecil,1989,5,Storm,Tropical cyclone,5,1,0,0,0,0,130,980,751,106,21000,49576,42.35934309
39,STORM_DOT(KURING)_1989,Dot(Kuring),1989,6,Storm,Tropical cyclone,3,1,0,0,0,0,83,990,6,10,100000,236075,42.35934309
40,STORM_ANGELA_1989,Angela,1989,10,,,4,1,1,0,0,0,150,925,9,300,100000,236075,42.35934309
41,STORM_DAN_1989,Dan,1989,10,,,4,1,1,0,0,0,100,960,43,166,50000,118038,42.35934309
42,STORM_BECKY_1990,Becky,1990,8,Storm,Tropical cyclone,4,1,1,0,0,0,120,980,19,108,65000,145590,44.64587744
43,STORM_NELL_1990,Nell,1990,11,Storm,Tropical depression,6,1,1,0,0,0,64,1000,48,20,10000,22398,44.64587744
44,STORM_IRA_1990,Ira,1990,10,Storm,Tropical depression,5,1,0,0,0,0,64,990,7,0,70000,156789,44.64587744
45,STORM_LOLA_1990,Lola,1990,10,Storm,Tropical depression,5,1,0,0,0,0,74,998,23,20,2100,4704,44.64587744
46,STORM_ED_1990,Ed,1990,9,Storm,Tropical cyclone,5,1,0,0,0,0,130,970,18,20,15000,33598,44.64587744
47,STORM_FRED_1991,Fred,1991,8,Storm,Tropical cyclone,4,1,0,0,0,0,139,980,17,16,9500,20414,46.53662061
48,STORM_NAN_1991,,1991,12,Storm,Storm (General),5,0,0,1,0,0,92,989,251,200,1000,2149,46.53662061
49,STORM_NAN_1991_2,,1991,3,Storm,Storm (General),5,0,0,0,0,0,92,989,8,20,19400,41688,46.53662061
50,STORM_ZEKE_1991,Zeke,1991,7,Storm,Tropical cyclone,3,1,1,0,0,0,111,983,21,6,19400,41688,46.53662061
51,STORM_CHUCK_1992,Chuck,1992,6,Storm,Tropical cyclone,3,1,0,0,0,0,102,965,94,11,400,834,47.94612964
52,STORM_ANGELA_1992,Angela,1992,10,Storm,Tropical cyclone,6,1,0,0,0,0,74,992,47,17,18000,37542,47.94612964
